id,text,urgency,category
b3d6197bc0,No water supply in houses near Stadium Entrance since morning,normal,water
b33dbe104a,Large pothole near Temple Street causing accidents,urgent,road
57ce0d6443,Unauthorized street vendor congestion at Old Market,normal,other
269054b15a,No water supply in houses near Main Square since morning,normal,water
cc1d39453a,Broken public bench near Sector 9,urgent,other
8b598e4742,Illegal parking blocking access near Temple Street,urgent,other
f1928c5108,Overflowing dustbin causing smell at Railway Crossing,urgent,sanitation
7af57386c4,Frequent power cuts happening near Railway Crossing,normal,electricity
37c4abc3c4,Transformer making loud noise near Main Square,urgent,electricity
b97665143c,Noise complaint due to loud speakers at Community Hall,urgent,other
5d85f632da,Electric pole wires hanging dangerously at Library Circle,urgent,electricity
be89d4e491,Road surface broken and creating traffic jam at Ward 14,normal,road
aace93ad88,Mosquito breeding due to stagnant water at Central Park,urgent,health
b300806cf2,Frequent power cuts happening near Ward 14,urgent,electricity
277b43d361,No water supply in houses near Library Circle since morning,normal,water
cf70d6d8cf,Unhygienic conditions around public clinic at Stadium Entrance,urgent,health
43f896a211,Dog bite incident reported at Community Hall,urgent,health
3004f9218f,Overflowing dustbin causing smell at Hospital Road,urgent,sanitation
4b1b0e1430,Unhygienic conditions around public clinic at River Bridge,normal,health
e6343141b4,Mosquito breeding due to stagnant water at Temple Street,urgent,health
e8785295b1,Voltage fluctuation damaging appliances around Bus Stand,normal,electricity
3ff747227d,Noise complaint due to loud speakers at Railway Crossing,urgent,other
4ff020189a,Construction debris blocking part of the road at Old Market,normal,road
4c194275c2,Dog bite incident reported at Central Park,urgent,health
4a29e2a5a2,Faded lane markings on busy junction at Sector 9,normal,road
07964a23e9,Unauthorized street vendor congestion at Ward 14,urgent,other
c714e68eea,Transformer making loud noise near Ward 14,normal,electricity
9ee6bfe6f8,Frequent power cuts happening near Library Circle,normal,electricity
aebc25b696,Transformer making loud noise near Library Circle,normal,electricity
66bf0f3889,Transformer making loud noise near Temple Street,normal,electricity
316b623b5d,Construction debris blocking part of the road at River Bridge,normal,road
5dc3293a7f,Electric pole wires hanging dangerously at Temple Street,urgent,electricity
79c08fec77,Large pothole near Ward 14 causing accidents,urgent,road
346fab2693,Broken public bench near Library Circle,normal,other
bdf03467ad,Vandalized signboard at Old Market,normal,other
facbcf9a59,Open waste dumping spotted behind Sector 9,normal,sanitation
bea144a0a5,Blocked drain causing stagnant water at Central Park,urgent,sanitation
65fc0f5a10,Construction debris blocking part of the road at Temple Street,urgent,road
3ecffa13ac,Noise complaint due to loud speakers at Library Circle,urgent,other
323094039c,Transformer making loud noise near School Gate,normal,electricity
5932b39dca,Damaged speed breaker making vehicles jump at Ward 14,normal,road
34abcd6891,No water supply in houses near Hospital Road since morning,urgent,water
8f53b4374e,Unhygienic conditions around public clinic at Sector 9,normal,health
a79d2d4b68,Road surface broken and creating traffic jam at Stadium Entrance,urgent,road
c4ee19f7fd,Contaminated muddy water coming from tap at Temple Street,urgent,water
2b2123d070,Frequent power cuts happening near School Gate,normal,electricity
5b65285273,Contaminated muddy water coming from tap at Green Avenue,urgent,water
d4d6ef4bf9,Garbage pile not collected for days near School Gate,normal,sanitation
4ff020189a,Construction debris blocking part of the road at Old Market,normal,road
be89d4e491,Road surface broken and creating traffic jam at Ward 14,normal,road
de4b94dfa6,Road surface broken and creating traffic jam at Railway Crossing,normal,road
41c8f9ddec,Garbage pile not collected for days near Green Avenue,urgent,sanitation
7d772f783c,Blocked drain causing stagnant water at Railway Crossing,urgent,sanitation
f25a00c80b,Unauthorized street vendor congestion at Library Circle,normal,other
07964a23e9,Unauthorized street vendor congestion at Ward 14,urgent,other
4232d0a966,Blocked drain causing stagnant water at Ward 14,urgent,sanitation
e90c039294,Damaged speed breaker making vehicles jump at River Bridge,normal,road
be89d4e491,Road surface broken and creating traffic jam at Ward 14,normal,road
241766c60c,Blocked drain causing stagnant water at Hospital Road,urgent,sanitation
db8e138d39,Electric pole wires hanging dangerously at Sector 9,urgent,electricity
2794ad3680,Water leakage from main pipeline at Temple Street,urgent,water
dbaf97bff0,Litter scattered around market area near Temple Street,urgent,sanitation
5e2e0428bc,Large pothole near Central Park causing accidents,urgent,road
a79d2d4b68,Road surface broken and creating traffic jam at Stadium Entrance,normal,road
ece667b06d,Voltage fluctuation damaging appliances around Community Hall,urgent,electricity
6e27d09169,Open sewage causing foul smell near Central Park,urgent,health
39b2662529,Street light not working at Ward 14,normal,electricity
02dab0eeed,Dog bite incident reported at School Gate,urgent,health
71ce9c8095,Dog bite incident reported at Green Avenue,urgent,health
1af30fbd0c,Frequent power cuts happening near Old Market,urgent,electricity
66f8327647,Broken public bench near Central Park,normal,other
d60de7af5c,Medical waste dumped openly behind Community Hall,normal,health
760a84b0ef,Vandalized signboard at Stadium Entrance,urgent,other
1646af104c,Dog bite incident reported at Stadium Entrance,urgent,health
489de7b5f2,Low pressure water supply reported around Stadium Entrance,normal,water
7af57386c4,Frequent power cuts happening near Railway Crossing,urgent,electricity
5d34c0ec92,Unauthorized street vendor congestion at Community Hall,normal,other
f1666b8752,Dog bite incident reported at River Bridge,urgent,health
5b94656075,Large pothole near Stadium Entrance causing accidents,urgent,road
8be3c16dab,Mosquito breeding due to stagnant water at Sector 9,urgent,health
d15a186c0c,Water leakage from main pipeline at Bus Stand,urgent,water
27caff5c76,Overflowing dustbin causing smell at Community Hall,urgent,sanitation
e0d7abcc44,Garbage pile not collected for days near Sector 9,normal,sanitation
827584fc90,Construction debris blocking part of the road at Hospital Road,normal,road
a79d2d4b68,Road surface broken and creating traffic jam at Stadium Entrance,normal,road
8ca3370d1c,Medical waste dumped openly behind Hospital Road,normal,health
ece667b06d,Voltage fluctuation damaging appliances around Community Hall,normal,electricity
5540addb03,Voltage fluctuation damaging appliances around Library Circle,normal,electricity
e8982c702e,Unhygienic conditions around public clinic at Main Square,normal,health
e000db90e0,Construction debris blocking part of the road at Main Square,urgent,road
a256ac8a95,Mosquito breeding due to stagnant water at Old Market,urgent,health
904bf4951f,Dog bite incident reported at Hospital Road,urgent,health
bb5a42fdda,Overflowing dustbin causing smell at Stadium Entrance,urgent,sanitation
8f28a88add,Vandalized signboard at Community Hall,urgent,other
d60de7af5c,Medical waste dumped openly behind Community Hall,normal,health
ff553d96c5,Unauthorized street vendor congestion at Main Square,normal,other
c178e50269,Litter scattered around market area near Railway Crossing,urgent,sanitation
f0bcbb8168,Illegal parking blocking access near Green Avenue,normal,other
9dd369e416,Open waste dumping spotted behind Library Circle,normal,sanitation
7e6fec0b10,Voltage fluctuation damaging appliances around Old Market,normal,electricity
c01a90c4c0,Frequent power cuts happening near Main Square,urgent,electricity
7dcf845a71,Noise complaint due to loud speakers at Sector 9,urgent,other
07964a23e9,Unauthorized street vendor congestion at Ward 14,normal,other
18ceb62203,Mosquito breeding due to stagnant water at Ward 14,urgent,health
680261a43d,Road surface broken and creating traffic jam at Hospital Road,normal,road
c3c795b156,Water leakage from main pipeline at Library Circle,urgent,water
728c834733,Illegal parking blocking access near Ward 14,urgent,other
728c834733,Illegal parking blocking access near Ward 14,urgent,other
03009bd44e,Large pothole near Main Square causing accidents,urgent,road
ab993d90b6,Transformer making loud noise near Community Hall,normal,electricity
a5d6eb5415,Mosquito breeding due to stagnant water at Library Circle,urgent,health
75047ca31a,Street light not working at Community Hall,normal,electricity
9ee6bfe6f8,Frequent power cuts happening near Library Circle,urgent,electricity
bb5a42fdda,Overflowing dustbin causing smell at Stadium Entrance,urgent,sanitation
ac174faa89,Water leakage from main pipeline at Sector 9,urgent,water
d9701057d0,Faded lane markings on busy junction at Railway Crossing,normal,road
8c56905373,Dog bite incident reported at Library Circle,urgent,health
5842791a64,Water leakage from main pipeline at Stadium Entrance,urgent,water
d53c3f0748,No water supply in houses near River Bridge since morning,urgent,water
c5fd4bbcd6,Low pressure water supply reported around Bus Stand,normal,water
827584fc90,Construction debris blocking part of the road at Hospital Road,urgent,road
91492e3b45,Dog bite incident reported at Bus Stand,urgent,health
9f38c99a13,Contaminated muddy water coming from tap at Railway Crossing,urgent,water
dd1fde825a,Medical waste dumped openly behind Ward 14,urgent,health
8c56905373,Dog bite incident reported at Library Circle,urgent,health
592711d3b1,Blocked drain causing stagnant water at Sector 9,urgent,sanitation
ce79839540,Garbage pile not collected for days near Main Square,normal,sanitation
f1666b8752,Dog bite incident reported at River Bridge,urgent,health
dced5f6bff,Mosquito breeding due to stagnant water at Stadium Entrance,urgent,health
c86f33762c,Unhygienic conditions around public clinic at Railway Crossing,urgent,health
444c22a81b,Contaminated muddy water coming from tap at Ward 14,urgent,water
07964a23e9,Unauthorized street vendor congestion at Ward 14,normal,other
f1928c5108,Overflowing dustbin causing smell at Railway Crossing,urgent,sanitation
277b43d361,No water supply in houses near Library Circle since morning,normal,water
aaa9d4774a,Litter scattered around market area near Community Hall,normal,sanitation
c04e2284c9,Faded lane markings on busy junction at Temple Street,normal,road
6ed5eab989,Road surface broken and creating traffic jam at Bus Stand,normal,road
5b65285273,Contaminated muddy water coming from tap at Green Avenue,urgent,water
c01a90c4c0,Frequent power cuts happening near Main Square,normal,electricity
dbaf97bff0,Litter scattered around market area near Temple Street,normal,sanitation
66f8327647,Broken public bench near Central Park,normal,other
c4ee19f7fd,Contaminated muddy water coming from tap at Temple Street,urgent,water
ab993d90b6,Transformer making loud noise near Community Hall,normal,electricity
213acf654a,Blocked drain causing stagnant water at Main Square,urgent,sanitation
c97c3c6e9c,Open sewage causing foul smell near River Bridge,urgent,health
5b65285273,Contaminated muddy water coming from tap at Green Avenue,urgent,water
90fd079146,Mosquito breeding due to stagnant water at School Gate,urgent,health
704c6acc97,Litter scattered around market area near Green Avenue,urgent,sanitation
02c1a2cdcb,Contaminated muddy water coming from tap at Main Square,urgent,water
bbf506f99d,Litter scattered around market area near Central Park,urgent,sanitation
