id,text,urgency,category,source
r001,Street light flickering outside community hall,normal,electricity,real
r002,Open garbage heap attracting stray animals near school gate,urgent,sanitation,real
r003,Water supply low pressure since last night in sector 9,normal,water,real
r004,Broken footpath tiles injuring pedestrians at main square,urgent,road,real
r005,Mosquito breeding due to stagnant water behind hospital,urgent,health,real
b3d6197bc0,No water supply in houses near Stadium Entrance since morning,normal,water,synthetic
b33dbe104a,Large pothole near Temple Street causing accidents,urgent,road,synthetic
57ce0d6443,Unauthorized street vendor congestion at Old Market,normal,other,synthetic
269054b15a,No water supply in houses near Main Square since morning,normal,water,synthetic
cc1d39453a,Broken public bench near Sector 9,urgent,other,synthetic
8b598e4742,Illegal parking blocking access near Temple Street,urgent,other,synthetic
f1928c5108,Overflowing dustbin causing smell at Railway Crossing,urgent,sanitation,synthetic
7af57386c4,Frequent power cuts happening near Railway Crossing,normal,electricity,synthetic
37c4abc3c4,Transformer making loud noise near Main Square,urgent,electricity,synthetic
b97665143c,Noise complaint due to loud speakers at Community Hall,urgent,other,synthetic
5d85f632da,Electric pole wires hanging dangerously at Library Circle,urgent,electricity,synthetic
be89d4e491,Road surface broken and creating traffic jam at Ward 14,normal,road,synthetic
aace93ad88,Mosquito breeding due to stagnant water at Central Park,urgent,health,synthetic
b300806cf2,Frequent power cuts happening near Ward 14,urgent,electricity,synthetic
277b43d361,No water supply in houses near Library Circle since morning,normal,water,synthetic
cf70d6d8cf,Unhygienic conditions around public clinic at Stadium Entrance,urgent,health,synthetic
43f896a211,Dog bite incident reported at Community Hall,urgent,health,synthetic
3004f9218f,Overflowing dustbin causing smell at Hospital Road,urgent,sanitation,synthetic
4b1b0e1430,Unhygienic conditions around public clinic at River Bridge,normal,health,synthetic
e6343141b4,Mosquito breeding due to stagnant water at Temple Street,urgent,health,synthetic
e8785295b1,Voltage fluctuation damaging appliances around Bus Stand,normal,electricity,synthetic
3ff747227d,Noise complaint due to loud speakers at Railway Crossing,urgent,other,synthetic
4ff020189a,Construction debris blocking part of the road at Old Market,normal,road,synthetic
4c194275c2,Dog bite incident reported at Central Park,urgent,health,synthetic
4a29e2a5a2,Faded lane markings on busy junction at Sector 9,normal,road,synthetic
07964a23e9,Unauthorized street vendor congestion at Ward 14,urgent,other,synthetic
c714e68eea,Transformer making loud noise near Ward 14,normal,electricity,synthetic
9ee6bfe6f8,Frequent power cuts happening near Library Circle,normal,electricity,synthetic
aebc25b696,Transformer making loud noise near Library Circle,normal,electricity,synthetic
66bf0f3889,Transformer making loud noise near Temple Street,normal,electricity,synthetic
316b623b5d,Construction debris blocking part of the road at River Bridge,normal,road,synthetic
